Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
OG11OA,2024-02-25 07:41:26,Produto/PO,Rust; R,Tutoriais YouTube; Trabalho/Prática; Comunidades/Fóruns; Pós-graduação; Cursos presenciais,Remoto; Academia; Presencial; Multinacional; Open source,GCP; Kubernetes,Uso semanalmente,Pesquisa; Estabilidade,Comunicação; Ferramentas novas; Documentação,Blockchain; Swift; Kotlin,Empreender; Paixão; Crescimento pessoal
LN70QI,2024-02-23 12:07:56,Estagiário,Go; TypeScript; SQL,Pós-graduação; Blogs/Artigos,Freelancer; Empresa grande; Academia; Presencial; Híbrido,Jupyter; GitHub; GitLab; Docker,Uso para revisar código,Impacto; Inovação; Propósito,Documentação; Comunicação; Débito técnico; Infraestrutura; Escalabilidade,Blockchain; Rust; Go; Kotlin; DevOps,Flexibilidade; Mercado aquecido
UW04US,2024-08-05 07:15:30,Outro,Kotlin; Rust; Java,Graduação; Outros; Bootcamp; Hackathons; Projetos pessoais,Presencial; Híbrido; Times grandes; Laboratório; Empresa grande,Vim/Neovim; Kubernetes; GitLab; PyCharm; Jupyter,Uso para gerar código,Desafio; Estabilidade; Pesquisa,Ferramentas novas; Complexidade do código; Débito técnico,IA/ML; Kubernetes; DevOps; Swift,Ensinar; Empreender; Crescimento pessoal; Flexibilidade; Reconhecimento
GX46QW,2024-03-05 12:24:28,Estagiário,JavaScript; TypeScript; Dart; C++,Documentação oficial; Cursos online,Open source; Times grandes; Consultoria,VS Code; Figma,Uso para gerar código,Estabilidade; Autonomia,Complexidade do código; Comunicação,Kubernetes; Swift,Reconhecimento; Flexibilidade; Empreender; Crescimento pessoal
EJ96OR,2024-11-23 07:56:57,Empreendedor,C#; R,Hackathons; Documentação oficial,Empresa grande; Híbrido; Startup; Governo; Freelancer,GCP; Kubernetes; Docker,Outro,Impacto; Carreira; Ensinar; Dinheiro; Reconhecimento,Escalabilidade; Teste/QA; Infraestrutura; Segurança,DevOps; Cloud Azure; Cloud AWS; Go; Rust,Ensinar; Paixão
PA19KF,2024-04-23 01:18:00,UX/UI,Go; Python,Comunidades/Fóruns; Cursos online; Graduação; Documentação oficial,Laboratório; Presencial; Híbrido; Times pequenos; Academia,Kubernetes; GitHub; PyCharm; Docker; Eclipse,Uso semanalmente,Carreira; Comunidade; Desafio,Débito técnico; Teste/QA; Segurança; Falta de requisitos; Documentação,Go; Flutter; Kotlin,Desafios; Boas oportunidades; Paixão; Mercado aquecido; Flexibilidade
SB76KN,2024-07-01 14:40:03,Professor,JavaScript; SQL; TypeScript; C++; Rust,Projetos pessoais; Hackathons,Open source; Times grandes,Vim/Neovim; GitLab,Uso para documentação,Criatividade; Comunidade,Infraestrutura; Documentação; Complexidade do código; Segurança; Débito técnico,React; Node.js; Swift; Data Science,Crescimento pessoal; Impacto social; Comunidade
XO09IY,2024-08-15 23:34:23,Desenvolvedor Júnior,Dart; JavaScript; C++; Java; Kotlin,Mentoria; Blogs/Artigos; Tutoriais YouTube,Laboratório; Clima flexível; Multinacional; Presencial,AWS; GitHub,Uso para revisar código,Resolver problemas; Comunidade,Segurança; Complexidade do código; Bugs difíceis,React; DevOps; IA/ML; Kotlin; Cloud GCP,Flexibilidade; Boas oportunidades; Crescimento pessoal; Remuneração; Impacto social
TU37TV,2024-02-21 00:54:05,Estagiário,SQL; Python,Graduação; Documentação oficial; Comunidades/Fóruns,Clima flexível; Consultoria,VS Code; GCP; Jupyter,Uso para documentação,Comunidade; Pesquisa,Falta de requisitos; Ferramentas novas; Complexidade do código; Infraestrutura,Swift; Cloud AWS; Flutter,Boas oportunidades; Desafios; Ensinar
VH54AA,2024-04-12 00:19:38,Desenvolvedor Sênior,JavaScript; Swift; R; C++; TypeScript,Livros; Projetos pessoais; Trabalho/Prática,Remoto; Híbrido; Clima flexível,Kubernetes; PyCharm; Azure; GitHub,Uso para revisar código,Autonomia; Comunidade; Carreira; Estabilidade; Desafio,Escalabilidade; Segurança; Complexidade do código; Bugs difíceis; Mudanças constantes,Node.js; Cloud GCP,Trabalho remoto; Paixão; Mercado aquecido
AI33OE,2024-04-27 02:44:26,Estagiário,TypeScript; Go,Livros; Documentação oficial; Graduação,Multinacional; Academia,GCP; GitHub; Vim/Neovim; Kubernetes,Outro,Inovação; Autonomia; Estabilidade; Impacto,Bugs difíceis; Escalabilidade; Complexidade do código; Segurança; Ferramentas novas,Cloud AWS; Kotlin,Desafios; Paixão
EY99PM,2024-02-13 10:40:57,Outro,Dart; R; SQL; C++,Cursos online; Pós-graduação; Mentoria,Híbrido; Multinacional,Bitbucket; PyCharm; GitLab; AWS; IntelliJ,Uso semanalmente,Reconhecimento; Impacto; Carreira; Ensinar; Autonomia,Comunicação; Mudanças constantes; Documentação; Escalabilidade; Dados ruins,Kubernetes; Kotlin; Node.js; DevOps,Reconhecimento; Remuneração; Flexibilidade; Curiosidade; Boas oportunidades
YZ37UL,2024-03-05 05:05:59,DevOps/Infra,Swift; Java,Outros; Graduação; Bootcamp,Híbrido; Presencial; Startup; Clima flexível,PyCharm; GitHub; Eclipse; IntelliJ; GCP,Uso para testes,Aprender; Pesquisa; Impacto; Criatividade,Ferramentas novas; Mudanças constantes,Flutter; Cloud Azure; Rust; Kotlin; Kubernetes,Pesquisa; Boas oportunidades; Ensinar; Curiosidade; Impacto social
MA23VC,2024-04-18 09:19:49,Professor,Go; Python; TypeScript; SQL; Dart,Pós-graduação; Outros,Presencial; Consultoria; Laboratório; Academia; Remoto,VS Code; AWS; GitLab; Jupyter,Outro,Ensinar; Autonomia,Dados ruins; Segurança; Falta de requisitos; Teste/QA,React; IA/ML; DevOps,Empreender; Impacto social; Ensinar; Pesquisa; Paixão
TT67WC,2024-07-21 19:22:21,Desenvolvedor Sênior,Rust; SQL; PHP,Trabalho/Prática; Mentoria; Pós-graduação; Graduação; Documentação oficial,Empresa grande; Remoto,Azure; Figma; GitLab; Eclipse,Uso semanalmente,Resolver problemas; Impacto; Inovação,Falta de requisitos; Documentação; Débito técnico,Kubernetes; Swift; Go; IA/ML; Blockchain,Remuneração; Flexibilidade
BK92CA,2024-03-22 15:15:08,Pesquisador,R; Ruby,Tutoriais YouTube; Cursos presenciais,Startup; Open source; Presencial; Clima flexível,Bitbucket; Jupyter,Uso para revisar código,Comunidade; Estabilidade; Reconhecimento; Propósito; Carreira,Deploy; Comunicação; Dados ruins; Débito técnico; Segurança,DevOps; Cloud Azure; Kotlin; React; Node.js,Flexibilidade; Desafios; Impacto social; Paixão; Empreender
RK41HG,2024-08-27 21:11:49,DevOps/Infra,PHP; Kotlin; Swift,Cursos presenciais; Cursos online; Livros; Graduação; Documentação oficial,Consultoria; Startup; Multinacional; Laboratório; Clima flexível,PyCharm; Figma; AWS; VS Code,Nunca uso,Ensinar; Dinheiro; Pesquisa; Criatividade,Gerenciar tempo; Falta de requisitos,Cloud GCP; Kubernetes; Kotlin; DevOps; Cloud AWS,Trabalho remoto; Mercado aquecido
VZ11LT,2024-12-03 23:55:01,UX/UI,Java; Python,Outros; Projetos pessoais; Mentoria; Bootcamp,Academia; Times pequenos; Governo,Docker; VS Code; Kubernetes; Vim/Neovim; Bitbucket,Uso raramente,Pesquisa; Criatividade; Aprender; Autonomia; Estabilidade,Falta de requisitos; Infraestrutura; Bugs difíceis; Deploy,React; Node.js; IA/ML; Go,Mercado aquecido; Desafios; Crescimento pessoal; Impacto social
RA90AU,2024-11-22 12:32:27,Professor,PHP; Java; Kotlin; TypeScript,Comunidades/Fóruns; Tutoriais YouTube; Pós-graduação,Times pequenos; Remoto; Clima flexível; Governo; Laboratório,GCP; Docker; GitHub,Uso semanalmente,Ensinar; Criatividade; Reconhecimento; Impacto; Comunidade,Complexidade do código; Escalabilidade; Documentação,Go; Data Science; Kotlin,Empreender; Ensinar; Comunidade; Desafios; Remuneração
ZM15IO,2024-07-30 01:08:07,Analista de Dados,Dart; PHP; C#; Ruby; SQL,Pós-graduação; Blogs/Artigos; Hackathons; Tutoriais YouTube; Cursos online,Multinacional; Open source; Times grandes; Laboratório,GCP; GitLab; Figma; IntelliJ; Kubernetes,Nunca uso,Reconhecimento; Autonomia; Criatividade,Segurança; Dados ruins,Data Science; Go; Rust; IA/ML; Cloud AWS,Empreender; Comunidade; Mercado aquecido; Curiosidade; Flexibilidade
ML49MV,2024-03-25 14:26:21,Analista de Dados,Kotlin; JavaScript,Outros; Mentoria; Comunidades/Fóruns; Documentação oficial,Open source; Presencial,GitLab; Figma; Vim/Neovim; Bitbucket,Crio prompts avançados,Impacto; Dinheiro; Estabilidade; Ensinar; Desafio,Comunicação; Complexidade do código,Cloud AWS; Kotlin,Trabalho remoto; Crescimento pessoal; Paixão; Remuneração; Boas oportunidades
YX98LI,2024-02-22 20:46:46,Outro,Dart; Python,Graduação; Hackathons,Freelancer; Consultoria; Startup; Governo,PyCharm; Eclipse; IntelliJ,Uso com copilotos,Inovação; Criatividade,Complexidade do código; Comunicação; Gerenciar tempo; Bugs difíceis,Rust; IA/ML; Go; Cloud Azure,Remuneração; Pesquisa; Mercado aquecido; Comunidade; Curiosidade
KJ24GT,2024-12-19 09:23:23,Produto/PO,C++; Swift; Ruby; Rust,Tutoriais YouTube; Pós-graduação; Cursos presenciais; Graduação,Empresa grande; Híbrido; Consultoria,Azure; Kubernetes; Vim/Neovim; GitHub; Figma,Uso para depurar,Criatividade; Aprender; Impacto,Mudanças constantes; Gerenciar tempo,Data Science; Cloud GCP; Node.js,Pesquisa; Flexibilidade; Reconhecimento
LP09AL,2024-09-09 13:01:34,Estudante,Go; R; Ruby; Java,Trabalho/Prática; Documentação oficial,Multinacional; Empresa grande,Figma; GitHub; VS Code; Bitbucket,Uso para ideias,Comunidade; Desafio; Inovação; Impacto; Ensinar,Deploy; Ferramentas novas; Falta de requisitos,DevOps; Cloud Azure; Swift; Go,Mercado aquecido; Ensinar; Remuneração; Comunidade; Trabalho remoto
HZ29BZ,2024-03-14 20:42:28,Pesquisador,Go; Swift; Rust; SQL; JavaScript,Livros; Hackathons; Comunidades/Fóruns,Academia; Clima flexível; Laboratório; Times pequenos; Governo,Eclipse; IntelliJ; VS Code; Bitbucket,Uso para ideias,Autonomia; Desafio; Aprender,Mudanças constantes; Escalabilidade; Segurança; Dados ruins; Falta de requisitos,Node.js; Cloud Azure; Cloud GCP; Flutter,Remuneração; Curiosidade; Mercado aquecido; Boas oportunidades
FG17WK,2024-08-29 00:59:04,Pesquisador,Dart; C#; Java,Outros; Tutoriais YouTube; Cursos online,Multinacional; Freelancer; Clima flexível,GitLab; GCP; GitHub; Eclipse; Vim/Neovim,Uso semanalmente,Comunidade; Propósito,Segurança; Ferramentas novas,Cloud Azure; Node.js; Rust,Desafios; Empreender; Ensinar; Boas oportunidades
AI62LF,2024-08-28 03:05:04,Produto/PO,Dart; Rust; PHP; C#,Cursos online; Comunidades/Fóruns; Mentoria,Clima flexível; Startup; Presencial; Laboratório,AWS; Azure; VS Code,Uso semanalmente,Autonomia; Desafio,Documentação; Ferramentas novas; Complexidade do código; Dados ruins,Node.js; Kubernetes; Cloud Azure,Flexibilidade; Trabalho remoto; Mercado aquecido
NI64LZ,2024-11-03 17:08:55,Cientista de Dados,JavaScript; Python; Go; Swift,Livros; Trabalho/Prática; Graduação,Governo; Academia; Consultoria; Presencial,Kubernetes; Vim/Neovim; PyCharm; Bitbucket,Nunca uso,Aprender; Dinheiro; Carreira; Autonomia; Resolver problemas,Ferramentas novas; Falta de requisitos,Kubernetes; DevOps,Paixão; Desafios
TK09GQ,2024-12-08 21:27:39,Estagiário,JavaScript; SQL; C#; Kotlin; C++,Mentoria; Comunidades/Fóruns; Blogs/Artigos; Pós-graduação,Freelancer; Governo,Eclipse; GitLab; Docker; Vim/Neovim; IntelliJ,Uso para gerar código,Autonomia; Comunidade,Deploy; Falta de requisitos; Segurança,Kubernetes; Cloud Azure,Ensinar; Impacto social
EB75TM,2024-10-29 03:38:39,Cientista de Dados,Go; Rust,Mentoria; Cursos online; Projetos pessoais,Open source; Consultoria; Remoto; Clima flexível,Bitbucket; Docker; Figma; GCP; PyCharm,Uso para depurar,Resolver problemas; Ensinar; Criatividade; Autonomia; Impacto,Débito técnico; Falta de requisitos,Kubernetes; Swift; Go; Cloud GCP,Remuneração; Trabalho remoto; Impacto social; Curiosidade; Pesquisa
AQ43UZ,2024-06-22 11:24:24,UX/UI,Rust; Java; Kotlin; Go; PHP,Outros; Bootcamp,Empresa grande; Startup; Multinacional; Governo; Open source,IntelliJ; Azure; Figma; Jupyter,Nunca uso,Aprender; Propósito,Mudanças constantes; Ferramentas novas; Bugs difíceis; Débito técnico,Node.js; Flutter; Kubernetes; Go,Comunidade; Impacto social
MR65DA,2024-03-14 20:38:36,Outro,Ruby; TypeScript,Pós-graduação; Projetos pessoais; Trabalho/Prática; Comunidades/Fóruns,Governo; Open source,GCP; GitLab; AWS,Outro,Impacto; Resolver problemas; Criatividade,Mudanças constantes; Bugs difíceis; Gerenciar tempo,Rust; Kubernetes; Cloud AWS; DevOps; Data Science,Reconhecimento; Comunidade; Boas oportunidades; Remuneração
LK49IE,2024-09-25 18:32:45,DevOps/Infra,Dart; SQL; Rust; C++,Projetos pessoais; Tutoriais YouTube,Laboratório; Governo,AWS; Vim/Neovim; Jupyter,Uso raramente,Criatividade; Estabilidade,Falta de requisitos; Ferramentas novas; Teste/QA; Escalabilidade,Cloud AWS; Flutter; Rust; DevOps; React,Pesquisa; Empreender
UR90VM,2024-07-02 05:03:00,Produto/PO,Kotlin; Ruby; Rust,Graduação; Projetos pessoais; Documentação oficial; Mentoria,Governo; Times grandes; Laboratório; Híbrido,VS Code; Bitbucket,Uso em produção,Dinheiro; Resolver problemas; Estabilidade,Ferramentas novas; Deploy,DevOps; React; Cloud Azure; Flutter; Node.js,Reconhecimento; Mercado aquecido
VE70RN,2024-08-21 04:03:47,Analista de Dados,JavaScript; Python; Dart; TypeScript; Rust,Cursos presenciais; Outros; Trabalho/Prática,Times pequenos; Governo; Freelancer,VS Code; PyCharm,Uso para documentação,Autonomia; Estabilidade,Complexidade do código; Falta de requisitos; Deploy; Teste/QA,Node.js; Flutter,Paixão; Flexibilidade; Impacto social; Mercado aquecido
WX55XS,2024-12-07 15:08:12,Empreendedor,Rust; Java; Go,Mentoria; Cursos online,Clima flexível; Empresa grande,PyCharm; Jupyter; GCP; IntelliJ,Uso para ideias,Ensinar; Resolver problemas; Pesquisa,Teste/QA; Débito técnico; Dados ruins,Rust; Kotlin; Go; Kubernetes,Curiosidade; Comunidade; Remuneração; Reconhecimento; Crescimento pessoal
LN70QI,2024-02-23 12:07:56,Estagiário,Go; TypeScript; SQL,Pós-graduação; Blogs/Artigos,Freelancer; Empresa grande; Academia; Presencial; Híbrido,Jupyter; GitHub; GitLab; Docker,Uso para revisar código,Impacto; Inovação; Propósito,Documentação; Comunicação; Débito técnico; Infraestrutura; Escalabilidade,Blockchain; Rust; Go; Kotlin; DevOps,Flexibilidade; Mercado aquecido
KC84EG,2024-03-24 13:39:42,UX/UI,PHP; Java; SQL; Dart,Cursos online; Documentação oficial,Multinacional; Freelancer,Kubernetes; Azure; GitLab,Uso para revisar código,Reconhecimento; Resolver problemas; Comunidade,Teste/QA; Comunicação; Mudanças constantes; Segurança,Go; Cloud GCP,Trabalho remoto; Comunidade
OQ75ZU,2024-07-25 12:23:06,Desenvolvedor Júnior,Kotlin; Go,Hackathons; Cursos presenciais; Outros,Times pequenos; Empresa grande; Open source; Clima flexível; Presencial,PyCharm; IntelliJ; GCP; Azure,Uso para revisar código,Reconhecimento; Inovação; Desafio; Propósito; Comunidade,Infraestrutura; Teste/QA,IA/ML; Swift; Kubernetes; Blockchain,Boas oportunidades; Crescimento pessoal
RP59ZL,2024-01-06 16:38:44,Estagiário,Java; TypeScript; Swift; Dart,Pós-graduação; Livros,Academia; Open source,PyCharm; Figma; Docker,Nunca uso,Estabilidade; Ensinar; Propósito,Deploy; Documentação,Data Science; Node.js; Go; Blockchain,Crescimento pessoal; Comunidade; Pesquisa
EH96XM,2024-09-07 22:06:09,DevOps/Infra,Ruby; Rust,Graduação; Hackathons,Laboratório; Times grandes; Freelancer,VS Code; IntelliJ; Kubernetes; Azure; Eclipse,Outro,Resolver problemas; Carreira; Criatividade; Desafio; Estabilidade,Escalabilidade; Dados ruins; Complexidade do código,Data Science; Flutter,Comunidade; Crescimento pessoal; Curiosidade; Remuneração; Impacto social
TK73LA,2024-09-18 08:55:10,Estagiário,C++; Rust; Java,Blogs/Artigos; Documentação oficial; Bootcamp; Hackathons,Times grandes; Academia; Laboratório,Azure; Docker; Eclipse; IntelliJ; Jupyter,Crio prompts avançados,Impacto; Estabilidade; Dinheiro; Propósito,Deploy; Mudanças constantes; Escalabilidade,React; Kubernetes; Cloud Azure; Blockchain,Crescimento pessoal; Impacto social
GL67XD,2024-10-26 00:04:20,Pesquisador,C#; Swift; R; PHP,Pós-graduação; Hackathons; Livros; Mentoria,Híbrido; Multinacional; Times pequenos,GCP; Eclipse; Bitbucket; Azure,Treino modelos,Impacto; Estabilidade; Inovação; Pesquisa,Comunicação; Infraestrutura; Ferramentas novas; Escalabilidade,Blockchain; Swift; Rust; Go,Mercado aquecido; Desafios; Trabalho remoto; Curiosidade
LK49IE,2024-09-25 18:32:45,DevOps/Infra,Dart; SQL; Rust; C++,Projetos pessoais; Tutoriais YouTube,Laboratório; Governo,AWS; Vim/Neovim; Jupyter,Uso raramente,Criatividade; Estabilidade,Falta de requisitos; Ferramentas novas; Teste/QA; Escalabilidade,Cloud AWS; Flutter; Rust; DevOps; React,Pesquisa; Empreender
SE65GN,2024-04-09 02:07:36,DevOps/Infra,C++; Java; TypeScript,Blogs/Artigos; Graduação; Pós-graduação; Tutoriais YouTube,Presencial; Academia; Híbrido; Startup,Azure; VS Code,Uso para ideias,Carreira; Reconhecimento; Pesquisa,Dados ruins; Débito técnico; Comunicação; Gerenciar tempo; Documentação,Data Science; React,Desafios; Empreender
TS12JQ,2024-01-11 21:01:21,Professor,Kotlin; C++; Java,Bootcamp; Documentação oficial,Open source; Governo; Presencial; Freelancer; Consultoria,Azure; Bitbucket; AWS,Uso para revisar código,Comunidade; Propósito; Pesquisa; Estabilidade,Segurança; Mudanças constantes; Ferramentas novas,Rust; Kubernetes; IA/ML,Crescimento pessoal; Boas oportunidades
EC95CO,2024-08-01 08:27:32,Cientista de Dados,Java; Ruby; SQL; C++,Graduação; Cursos presenciais; Bootcamp,Academia; Open source; Remoto; Presencial,Kubernetes; GCP,Nunca uso,Comunidade; Aprender,Infraestrutura; Dados ruins,Flutter; Swift; Node.js,Trabalho remoto; Crescimento pessoal; Desafios; Empreender; Boas oportunidades
ET14ZB,2024-06-13 17:39:53,DevOps/Infra,Swift; SQL; Rust,Graduação; Projetos pessoais; Comunidades/Fóruns; Tutoriais YouTube; Blogs/Artigos,Empresa grande; Híbrido,Vim/Neovim; GitHub; GCP; Figma; AWS,Uso para revisar código,Autonomia; Estabilidade; Impacto; Inovação,Mudanças constantes; Deploy; Comunicação; Teste/QA,Go; Swift; Cloud GCP; Rust,Boas oportunidades; Crescimento pessoal; Pesquisa; Ensinar; Mercado aquecido
DM55IT,2024-06-20 21:04:59,Produto/PO,R; Rust; Go; Java; SQL,Bootcamp; Hackathons; Pós-graduação; Trabalho/Prática; Outros,Consultoria; Startup; Empresa grande; Open source; Híbrido,Eclipse; Vim/Neovim; Jupyter; GitLab,Outro,Impacto; Ensinar,Infraestrutura; Escalabilidade; Débito técnico,Data Science; Kubernetes; Node.js,Remuneração; Flexibilidade; Impacto social; Paixão
VU50VO,2024-11-14 00:01:35,Empreendedor,SQL; Dart,Trabalho/Prática; Cursos presenciais; Graduação,Remoto; Academia; Open source,PyCharm; VS Code; IntelliJ; Azure,Uso diariamente,Resolver problemas; Reconhecimento; Carreira,Complexidade do código; Dados ruins,DevOps; Go; Cloud AWS; Kubernetes,Boas oportunidades; Desafios
FK86OC,2024-07-02 06:00:08,Produto/PO,Dart; C#; PHP,Blogs/Artigos; Documentação oficial,Open source; Clima flexível; Startup; Academia,Kubernetes; Eclipse; Docker; AWS,Nunca uso,Resolver problemas; Autonomia,Comunicação; Infraestrutura; Gerenciar tempo,Rust; Kubernetes; Go,Curiosidade; Comunidade
IC44VR,2024-07-04 17:33:59,Empreendedor,Swift; SQL; Java; JavaScript; R,Blogs/Artigos; Graduação,Laboratório; Governo,GitLab; Azure; GCP; Kubernetes; IntelliJ,Uso para ideias,Inovação; Criatividade; Autonomia; Aprender; Estabilidade,Ferramentas novas; Dados ruins; Complexidade do código,Rust; IA/ML; Data Science; Cloud GCP; Kotlin,Paixão; Pesquisa; Comunidade; Remuneração
SZ82JX,2024-12-29 20:44:51,Desenvolvedor Pleno,Rust; PHP; JavaScript; Ruby,Documentação oficial; Blogs/Artigos; Projetos pessoais,Clima flexível; Academia; Governo,PyCharm; GitLab; AWS,Uso em produção,Reconhecimento; Criatividade; Resolver problemas; Autonomia; Dinheiro,Escalabilidade; Dados ruins; Deploy; Mudanças constantes,Rust; Cloud GCP; Swift,Flexibilidade; Trabalho remoto
RP10EH,2024-02-01 19:41:59,DevOps/Infra,C++; SQL,Livros; Outros; Trabalho/Prática; Bootcamp; Cursos presenciais,Presencial; Freelancer; Laboratório; Times pequenos; Times grandes,VS Code; Vim/Neovim; Kubernetes; GitLab; Bitbucket,Uso diariamente,Autonomia; Aprender; Impacto; Desafio,Complexidade do código; Deploy,React; Go; Kubernetes; Swift,Remuneração; Paixão; Impacto social
OQ32UK,2024-06-25 03:20:15,Estagiário,Java; Go,Livros; Outros; Pós-graduação; Documentação oficial; Mentoria,Freelancer; Times pequenos; Multinacional,GitHub; Bitbucket; Jupyter; Docker,Uso semanalmente,Reconhecimento; Ensinar; Resolver problemas; Criatividade,Ferramentas novas; Complexidade do código; Falta de requisitos,Cloud Azure; Cloud AWS; Data Science; IA/ML; Cloud GCP,Empreender; Trabalho remoto; Impacto social; Boas oportunidades; Mercado aquecido
QN89RM,2024-02-21 09:15:24,UX/UI,Kotlin; SQL; Python,Bootcamp; Mentoria; Hackathons,Multinacional; Times grandes; Consultoria; Empresa grande,Figma; Docker; Jupyter; Kubernetes; Vim/Neovim,Uso diariamente,Carreira; Estabilidade; Reconhecimento; Autonomia; Comunidade,Gerenciar tempo; Mudanças constantes,Go; Kotlin; Swift; React,Desafios; Comunidade; Curiosidade; Flexibilidade
HX84PQ,2024-06-02 14:02:00,Estudante,Java; Swift; Ruby; C#; JavaScript,Cursos presenciais; Graduação,Híbrido; Presencial; Academia; Freelancer; Times pequenos,GCP; GitHub; Bitbucket; Docker,Uso para gerar código,Carreira; Propósito; Autonomia; Ensinar,Documentação; Complexidade do código,Node.js; Cloud Azure; Data Science; Go; Rust,Mercado aquecido; Remuneração; Paixão
JP19AV,2024-11-20 00:13:45,Cientista de Dados,C#; TypeScript; R; Swift,Hackathons; Outros; Projetos pessoais; Comunidades/Fóruns; Bootcamp,Governo; Remoto; Times grandes; Times pequenos,IntelliJ; Jupyter; Azure,Uso com copilotos,Comunidade; Dinheiro; Ensinar; Resolver problemas; Reconhecimento,Comunicação; Ferramentas novas; Complexidade do código; Bugs difíceis; Teste/QA,Kotlin; Cloud GCP; Data Science; Cloud AWS; React,Paixão; Empreender; Pesquisa
ED72XU,2024-01-12 09:37:12,Cientista de Dados,C++; Rust; JavaScript; Dart; Kotlin,Livros; Outros,Remoto; Open source; Governo; Presencial,IntelliJ; Vim/Neovim; GitLab; PyCharm,Outro,Dinheiro; Desafio,Gerenciar tempo; Segurança,Cloud Azure; IA/ML,Crescimento pessoal; Impacto social; Mercado aquecido; Ensinar; Paixão
UR90VM,2024-07-02 05:03:00,Produto/PO,Kotlin; Ruby; Rust,Graduação; Projetos pessoais; Documentação oficial; Mentoria,Governo; Times grandes; Laboratório; Híbrido,VS Code; Bitbucket,Uso em produção,Dinheiro; Resolver problemas; Estabilidade,Ferramentas novas; Deploy,DevOps; React; Cloud Azure; Flutter; Node.js,Reconhecimento; Mercado aquecido
CF48LB,2024-02-17 07:21:52,Desenvolvedor Sênior,Go; Java; C#; Rust; C++,Blogs/Artigos; Trabalho/Prática; Mentoria; Cursos presenciais; Tutoriais YouTube,Consultoria; Remoto; Presencial,Bitbucket; GitHub; GCP,Uso diariamente,Reconhecimento; Desafio; Propósito,Ferramentas novas; Dados ruins; Falta de requisitos,Kotlin; Data Science; Swift; Rust,Comunidade; Desafios; Impacto social; Ensinar
VC29CP,2024-11-15 05:02:14,Desenvolvedor Sênior,Ruby; PHP; Python; JavaScript; Kotlin,Projetos pessoais; Pós-graduação,Academia; Multinacional; Open source,Eclipse; GCP; Bitbucket,Crio prompts avançados,Carreira; Estabilidade; Ensinar,Documentação; Ferramentas novas,Data Science; Blockchain; IA/ML,Trabalho remoto; Curiosidade; Remuneração
LP09AL,2024-09-09 13:01:34,Estudante,Go; R; Ruby; Java,Trabalho/Prática; Documentação oficial,Multinacional; Empresa grande,Figma; GitHub; VS Code; Bitbucket,Uso para ideias,Comunidade; Desafio; Inovação; Impacto; Ensinar,Deploy; Ferramentas novas; Falta de requisitos,DevOps; Cloud Azure; Swift; Go,Mercado aquecido; Ensinar; Remuneração; Comunidade; Trabalho remoto
PV36BF,2024-02-23 22:47:52,Outro,SQL; Java,Livros; Comunidades/Fóruns; Bootcamp,Governo; Times grandes; Open source; Startup; Multinacional,Vim/Neovim; Azure; GitLab; GCP,Uso para gerar código,Desafio; Criatividade; Resolver problemas; Autonomia; Aprender,Segurança; Débito técnico; Falta de requisitos; Gerenciar tempo; Bugs difíceis,IA/ML; Flutter,Curiosidade; Empreender; Desafios; Paixão
IC44VR,2024-07-04 17:33:59,Empreendedor,Swift; SQL; Java; JavaScript; R,Blogs/Artigos; Graduação,Laboratório; Governo,GitLab; Azure; GCP; Kubernetes; IntelliJ,Uso para ideias,Inovação; Criatividade; Autonomia; Aprender; Estabilidade,Ferramentas novas; Dados ruins; Complexidade do código,Rust; IA/ML; Data Science; Cloud GCP; Kotlin,Paixão; Pesquisa; Comunidade; Remuneração
QN24XM,2024-02-27 17:06:47,Desenvolvedor Júnior,R; C#; Rust; TypeScript,Mentoria; Cursos online; Comunidades/Fóruns; Cursos presenciais,Academia; Híbrido,Docker; PyCharm; Kubernetes; GCP; Azure,Crio prompts avançados,Criatividade; Carreira; Autonomia; Resolver problemas,Complexidade do código; Escalabilidade,Cloud AWS; React; Blockchain; Kubernetes; IA/ML,Impacto social; Pesquisa
VD17TS,2024-04-26 07:36:50,DevOps/Infra,Ruby; PHP; Go; Swift; Python,Cursos presenciais; Graduação; Cursos online; Trabalho/Prática,Governo; Clima flexível,AWS; IntelliJ; VS Code,Uso para documentação,Estabilidade; Pesquisa; Reconhecimento; Desafio; Carreira,Escalabilidade; Comunicação; Infraestrutura; Débito técnico,Data Science; Go; Kubernetes; Cloud AWS,Impacto social; Trabalho remoto; Paixão
ZS63XN,2024-04-09 05:01:32,Desenvolvedor Júnior,C++; C#,Cursos online; Livros; Trabalho/Prática; Outros,Laboratório; Consultoria,GCP; Bitbucket; Figma; Jupyter,Crio prompts avançados,Aprender; Carreira,Comunicação; Infraestrutura; Mudanças constantes; Escalabilidade; Complexidade do código,Rust; Node.js; Swift; Go,Mercado aquecido; Boas oportunidades
